PLAYER_ID,PLAYER_NAME,fga,pts,xpts,pps,xpps,making_100,making_100_se
1628995,Kevin Knox II,186,203,214.5183095943759,1.0913978494623655,1.1533242451310532,-6.19263956686876,8.771848490603972
1630256,Jae'Sean Tate,229,239,253.44783839377908,1.0436681222707425,1.1067591196234894,-6.309099735274708,7.5090383057812975
1641816,Hunter Tyson,20,20,21.269411470849146,1.0,1.0634705735424572,-6.34705735424573,29.238220159974325
1631093,Jaden Ivey,973,958,1020.9996027971889,0.9845837615621789,1.0493315547761448,-6.4747793213966,3.693502952582739
1630700,Dyson Daniels,311,320,340.19798780738347,1.0289389067524115,1.0938842051684357,-6.494529841602402,6.655859905602757
1629669,Jaylen Nowell,78,74,79.10449200684421,0.9487179487179487,1.0141601539339002,-6.544220521595142,12.893636001336754
1631173,Terquavion Smith,46,49,52.02917267983243,1.065217391304348,1.131068971300705,-6.585157999635713,19.987801816039863
1631119,Jaylin Williams,228,243,258.2048584057515,1.0657894736842106,1.132477449148033,-6.66879754638224,8.555787578574842
1630224,Jalen Green,1332,1327,1416.3018867074195,0.9962462462462462,1.0632897047352998,-6.704345848905367,3.221191989370171
1631108,Max Christie,241,248,264.1658198452449,1.0290456431535269,1.0961237337976968,-6.707809064416982,7.757261664202114
1628975,Jevon Carter,365,353,377.55046961814764,0.9671232876712329,1.0343848482688978,-6.726156059766478,6.721049711045763
1641722,Jordan Hawkins,456,457,488.12354708115066,1.0021929824561404,1.070446375177962,-6.825339272182163,6.089899679787993
201580,JaVale McGee,132,159,168.01440837288573,1.2045454545454546,1.272836427067316,-6.8290972521861555,7.585382910543309
1631103,Malaki Branham,628,635,678.9099860758062,1.0111464968152866,1.0810668568086086,-6.992035999332192,4.6821424550420705
203915,Spencer Dinwiddie,640,626,671.5675382087094,0.978125,1.0493242784511083,-7.1199278451108405,4.8913569229262395
1630583,Santi Aldama,568,600,641.5397919629609,1.056338028169014,1.1294714647235227,-7.313343655450856,5.131045071688417
1629023,P.J. Washington,811,840,899.5102450967738,1.0357583230579532,1.1091371702796224,-7.337884722166931,4.193967384010092
1629680,Matisse Thybulle,317,332,355.7158903857637,1.0473186119873816,1.1221321463273304,-7.481353433994863,7.369617806950497
1628981,Bruno Fernando,187,218,232.00907095976405,1.1657754010695187,1.2406902190361713,-7.491481796665266,6.630261432288766
1629111,Jock Landale,206,222,237.44133212065333,1.0776699029126213,1.1526278258284142,-7.495792291579286,7.321823089367097
1626174,Christian Wood,264,281,300.8748821530796,1.0643939393939394,1.1396775839131803,-7.528364451924101,7.0057678391031715
1630526,Jeremiah Robinson-Earl,95,103,110.19009440252997,1.0842105263157895,1.159895730552947,-7.568520423715752,11.975559296645002
1630592,Jalen Wilson,179,176,189.57180309004121,0.9832402234636871,1.0590603524583309,-7.582012899464366,8.626528135414869
1630702,Jaden Hardy,479,471,507.66176826274506,0.9832985386221295,1.059836676957714,-7.653813833558466,5.493991499008131
1629234,Drew Eubanks,253,307,326.3726303326195,1.2134387351778657,1.2900103965716185,-7.6571661393753,5.866187587427307
1630572,Sandro Mamukelashvili,155,165,176.96934144846003,1.064516129032258,1.1417376867642584,-7.722155773200018,9.14554916746888
